Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP
3.88,-0.60,2.76,11.04,197.96,8.20,22.50,142.00,-0.12,7.20
3.90,-0.60,2.80,11.10,193.77,8.20,22.50,141.02,-0.10,7.12
3.90,-0.60,2.78,11.10,192.74,8.30,22.50,140.92,-0.10,7.09
3.89,-0.60,2.81,11.09,197.59,8.30,22.50,141.80,-0.08,7.22
3.89,-0.60,2.79,11.03,194.05,8.30,22.50,140.84,0.01,7.13
3.89,-0.60,2.79,11.03,198.60,8.20,22.50,140.80,-0.07,7.30
3.87,-0.61,2.79,11.10,194.08,8.30,22.50,141.22,-0.07,7.10
3.85,-0.70,2.84,11.10,196.45,8.20,22.50,141.43,-0.08,7.29
3.85,-0.70,2.79,11.11,193.59,8.30,22.50,142.92,-0.11,7.11
3.91,-0.67,2.73,11.10,198.85,8.30,22.50,141.42,0.00,7.42
4.00,-0.51,2.74,11.12,194.20,8.40,22.50,141.76,-0.08,7.12
4.13,-0.32,2.82,11.22,197.29,8.40,22.50,143.22,-0.19,7.07
4.34,-0.18,2.87,11.30,193.23,8.60,22.50,144.76,-0.23,6.94
4.45,-0.34,3.08,11.30,198.16,8.40,22.50,143.78,-0.19,7.61
4.07,-1.16,3.24,11.13,193.66,8.00,22.50,141.96,0.03,8.23
3.43,-2.06,2.91,11.02,180.41,8.00,22.50,140.62,0.14,8.12
3.11,-2.25,2.50,11.06,141.96,8.40,22.50,141.24,0.07,6.21
3.23,-1.87,2.38,11.07,120.58,8.80,22.50,140.44,0.01,5.05
3.44,-1.36,2.43,11.00,118.39,8.60,22.50,140.98,0.08,4.65
3.54,-1.20,2.68,11.10,173.56,8.50,22.50,142.76,-0.07,6.64
3.57,-1.12,2.66,11.20,182.17,8.40,22.50,143.42,-0.16,6.85
3.62,-1.06,2.70,11.32,180.03,8.60,22.50,144.16,-0.15,6.74
3.69,-0.96,2.68,11.22,181.10,8.70,22.50,143.98,-0.01,6.74
3.75,-0.85,2.74,11.18,180.27,8.40,22.50,143.10,0.04,6.68
3.79,-0.80,2.74,11.24,179.82,8.40,22.50,142.52,-0.08,6.67
3.79,-0.79,2.75,11.10,179.01,8.40,22.50,141.52,0.05,6.68
3.81,-0.72,2.80,11.10,180.37,8.30,22.50,142.22,-0.02,6.63
3.82,-0.76,2.83,11.10,185.07,8.30,22.50,142.58,0.01,6.85
3.80,-0.80,2.76,11.18,196.79,8.30,22.50,143.22,-0.05,7.28
3.79,-0.80,2.72,11.20,196.26,8.50,22.50,142.33,-0.04,7.30
3.89,-0.66,2.73,11.22,185.03,8.40,22.50,143.84,0.01,6.75
3.99,-0.63,2.88,11.35,191.22,8.60,22.50,145.16,-0.10,7.01
3.91,-0.95,3.03,11.35,194.07,8.50,22.50,144.32,-0.07,7.54
3.56,-1.62,2.95,11.24,185.77,8.10,22.50,143.52,0.05,7.73
3.31,-1.89,2.57,11.27,178.63,8.60,22.50,143.84,0.01,7.45
3.43,-1.55,2.39,11.25,132.33,8.70,22.50,143.70,0.08,5.28
3.65,-1.04,2.54,11.36,118.96,8.80,22.50,145.40,-0.05,4.43
3.74,-0.86,2.72,11.21,163.57,8.60,22.50,143.32,0.06,6.05
3.75,-0.80,2.73,11.24,184.29,8.50,22.50,144.24,-0.01,6.70
3.81,-0.80,2.77,11.20,195.73,8.40,22.50,143.35,0.03,7.26
3.85,-0.80,2.74,11.24,194.01,8.50,22.50,143.64,-0.04,7.24
3.88,-0.79,2.75,11.22,191.70,8.50,22.50,144.16,0.02,7.16
3.90,-0.71,2.74,11.31,180.20,8.60,22.50,144.96,-0.07,6.62
3.95,-0.63,2.76,11.20,178.68,8.50,22.50,143.10,0.05,6.59
3.99,-0.55,2.76,11.31,179.98,8.40,22.50,144.86,-0.02,6.49
4.00,-0.50,2.83,11.28,192.80,8.60,22.50,143.60,0.02,6.97
3.98,-0.58,2.86,11.35,194.86,8.40,22.50,144.64,-0.03,7.08
3.96,-0.68,2.83,11.35,197.38,8.50,22.50,144.80,-0.02,7.29
4.02,-0.53,2.70,11.36,192.89,8.60,22.50,145.16,-0.01,6.97
4.16,-0.25,2.72,11.36,194.94,8.80,22.50,145.08,0.00,6.83
4.40,-0.11,2.96,11.45,197.06,8.50,22.50,145.72,-0.01,7.02
4.34,-0.55,3.19,11.41,193.61,8.40,22.50,145.08,-0.02,7.51
3.77,-1.43,3.09,11.40,193.91,8.20,22.50,145.04,-0.03,8.02
3.43,-1.83,2.64,11.29,181.78,8.50,22.50,144.82,0.07,7.61
3.51,-1.55,2.41,11.21,123.48,8.70,22.50,143.00,0.15,5.03
3.69,-1.04,2.51,11.45,133.75,8.90,22.50,145.86,-0.04,5.01
3.87,-0.64,2.61,11.35,142.09,8.80,22.50,145.06,0.03,5.09
3.94,-0.50,2.83,11.37,169.57,8.60,22.50,145.76,-0.01,5.96
3.94,-0.50,2.83,11.33,197.62,8.50,22.50,144.34,0.03,7.01
3.94,-0.50,2.82,11.34,194.86,8.50,22.50,144.14,-0.01,6.91
3.92,-0.56,2.85,11.29,195.04,8.40,22.50,145.58,-0.01,6.91
3.92,-0.55,2.78,11.25,197.36,8.40,22.50,144.12,0.02,7.05
3.91,-0.52,2.82,11.38,193.72,8.50,22.50,145.24,-0.08,6.82
3.90,-0.58,2.87,11.35,198.38,8.50,22.50,144.31,0.04,7.11
3.89,-0.66,2.86,11.40,192.75,8.50,22.50,145.02,-0.01,6.96
3.87,-0.70,2.78,11.36,198.44,8.40,22.50,144.42,0.02,7.24
3.84,-0.71,2.82,11.44,192.61,8.70,22.50,145.92,-0.07,6.91
3.83,-0.79,2.80,11.29,197.34,8.40,22.50,144.04,0.08,7.29
3.85,-0.80,2.81,11.43,194.64,8.60,22.50,145.16,-0.08,7.19
3.89,-0.80,2.74,11.39,194.84,8.70,22.50,145.38,0.00,7.24
3.90,-0.80,2.75,11.34,197.88,8.60,22.50,144.70,0.06,7.41
3.95,-0.74,2.74,11.37,181.35,8.60,22.50,144.90,-0.05,6.76
4.03,-0.66,2.83,11.27,180.22,8.70,22.50,143.56,0.05,6.79
3.99,-0.94,2.97,11.37,184.24,8.50,22.50,145.62,-0.06,7.19
3.73,-1.53,2.91,11.38,196.40,8.30,22.50,144.18,-0.02,8.27
3.65,-1.61,2.52,11.32,175.53,8.70,22.50,144.47,0.02,7.37
3.88,-1.16,2.42,11.30,127.61,8.90,22.50,143.72,0.07,5.16
4.11,-0.66,2.61,11.44,130.00,9.00,22.50,145.24,-0.04,4.92
4.17,-0.60,2.81,11.32,189.12,8.50,22.50,144.28,0.06,7.21
4.18,-0.69,2.85,11.47,195.73,8.60,22.50,145.36,-0.10,7.57
4.21,-0.84,2.87,11.34,195.88,8.60,22.50,144.63,0.02,7.89
4.23,-0.92,2.74,11.40,191.54,8.50,25.08,152.59,-0.02,7.45
4.23,-0.94,2.73,11.50,198.04,8.70,35.40,188.10,-0.12,6.27
4.24,-0.94,2.69,11.50,194.12,8.90,35.40,187.72,-0.09,6.17
4.25,-0.90,2.68,11.50,197.38,8.80,35.40,187.94,-0.07,6.23
4.26,-0.90,2.68,11.50,194.24,8.80,35.40,186.32,-0.05,6.20
4.27,-0.90,2.70,11.50,197.07,8.80,35.40,185.88,-0.02,6.32
4.29,-0.90,2.71,11.50,195.04,8.80,35.40,188.00,-0.03,6.21
4.35,-0.86,2.66,11.51,196.22,8.80,35.40,186.14,-0.08,6.34
4.48,-0.61,2.64,11.64,197.30,9.10,35.40,189.28,-0.19,6.12
4.64,-0.45,2.78,11.70,193.70,9.10,35.40,189.88,-0.25,5.99
4.58,-0.76,3.03,11.68,197.59,8.80,35.40,190.90,-0.20,6.37
4.15,-1.47,2.97,11.56,193.97,8.50,35.40,189.65,-0.06,6.63
3.84,-1.88,2.62,11.50,196.40,8.70,35.40,187.50,0.01,6.90
3.83,-1.73,2.45,11.56,142.24,8.90,35.40,189.28,-0.07,4.82
3.98,-1.33,2.40,11.67,141.29,9.10,35.40,189.82,-0.13,4.55
4.06,-1.00,2.59,11.71,164.68,9.30,35.40,191.66,-0.17,5.02
4.05,-1.00,2.66,11.73,198.79,9.00,35.40,191.82,-0.21,6.04
4.08,-0.99,2.71,11.80,193.00,9.10,35.40,191.66,-0.23,5.89
4.09,-0.90,2.65,11.80,197.08,9.20,35.40,192.46,-0.21,5.89
4.09,-0.90,2.66,11.80,192.63,9.10,35.40,191.98,-0.20,5.77
4.14,-0.72,2.63,11.80,180.36,9.20,35.40,193.22,-0.22,5.22
4.14,-0.69,2.72,11.80,194.04,9.10,35.40,192.38,-0.20,5.62
4.13,-0.61,2.71,11.78,191.60,9.00,35.40,192.24,-0.15,5.45
4.11,-0.51,2.78,11.70,196.88,9.00,34.64,189.16,-0.15,5.54
4.10,-0.46,2.75,11.63,195.03,8.90,22.50,148.08,-0.13,6.92
4.11,-0.37,2.80,11.68,197.74,8.90,22.50,148.70,-0.14,6.87
4.18,-0.30,2.85,11.67,193.23,8.90,22.50,148.16,-0.13,6.73
4.15,-0.50,2.96,11.62,211.25,8.70,22.50,147.00,-0.13,7.71
3.68,-1.53,2.90,11.50,195.67,8.50,22.50,146.62,-0.10,8.01
3.51,-1.75,2.60,11.47,171.13,8.70,22.50,145.94,0.01,7.11
3.66,-1.34,2.42,11.52,131.19,9.00,22.50,146.54,-0.05,5.17
3.91,-0.85,2.53,11.60,130.90,9.00,22.50,147.68,-0.08,4.86
4.06,-0.60,2.77,11.60,147.89,8.90,22.50,147.68,-0.06,5.38
4.08,-0.60,2.78,11.60,191.80,8.90,22.50,147.94,-0.06,6.99
4.12,-0.52,2.78,11.60,185.45,8.80,22.50,147.86,-0.04,6.70
4.14,-0.47,2.81,11.60,197.21,8.80,22.50,147.67,-0.06,7.09
4.17,-0.51,2.87,11.60,193.78,8.80,22.50,147.44,-0.11,7.09
4.14,-0.74,2.96,11.60,197.66,8.70,22.50,147.66,-0.09,7.53
3.99,-1.11,2.91,11.56,193.48,8.60,22.50,146.56,-0.05,7.76
3.87,-1.33,2.69,11.53,199.21,8.80,22.50,145.72,-0.04,8.19
4.02,-1.07,2.47,11.43,147.12,8.80,22.50,144.96,0.01,5.96
4.24,-0.68,2.63,11.50,142.09,9.00,22.50,146.60,-0.01,5.50
4.34,-0.60,2.83,11.53,171.80,8.70,22.50,146.44,-0.04,6.68
4.38,-0.71,2.85,11.59,197.00,8.80,22.50,147.20,-0.07,7.85
4.42,-0.84,2.83,11.60,194.56,8.70,22.50,146.90,-0.09,8.02
4.46,-0.96,2.77,11.61,195.99,8.80,22.99,148.46,-0.12,8.24
4.50,-1.00,2.66,11.70,194.00,9.20,37.05,196.96,-0.16,6.24
4.53,-1.00,2.66,11.70,197.22,8.90,37.10,196.68,-0.16,6.40
4.63,-0.93,2.62,11.70,194.61,9.10,37.10,197.36,-0.16,6.31
4.77,-0.81,2.62,11.73,197.14,9.00,37.10,196.96,-0.21,6.44
4.98,-0.58,2.61,11.80,192.83,9.10,37.10,197.76,-0.21,6.25
5.22,-0.30,2.66,11.83,197.85,9.10,37.10,198.14,-0.24,6.35
5.49,-0.05,2.80,11.88,192.68,9.10,37.10,198.76,-0.26,6.19
5.52,-0.37,3.04,11.80,198.37,8.90,37.10,198.22,-0.17,6.80
5.19,-1.03,2.98,11.68,193.36,8.80,37.10,195.53,-0.04,7.09
4.82,-1.53,2.79,11.60,162.12,8.60,37.10,194.70,0.05,6.09
4.53,-1.70,2.63,11.63,141.00,9.10,37.10,194.08,-0.05,5.22
4.62,-1.53,2.43,11.52,141.53,8.90,37.10,192.72,0.03,5.20
4.88,-1.05,2.42,11.66,141.72,9.30,37.10,197.30,-0.12,4.91
5.19,-0.45,2.54,11.76,150.43,9.30,37.10,197.22,-0.24,4.96
5.44,-0.22,2.76,11.80,191.11,9.00,37.10,198.39,-0.29,6.28
5.58,-0.38,2.98,11.71,195.98,8.90,37.10,198.08,-0.21,6.80
5.44,-0.86,2.92,11.62,193.21,8.70,37.10,195.96,-0.10,7.16
5.25,-1.04,2.79,11.45,136.83,8.60,37.10,192.98,0.03,5.15
5.00,-1.18,2.76,11.50,134.81,8.70,37.10,194.96,-0.06,4.93
4.67,-1.54,2.83,11.44,135.49,8.50,37.10,192.92,0.03,5.03
4.33,-1.72,2.57,11.49,129.65,8.70,37.10,192.76,-0.01,4.69
4.24,-1.59,2.47,11.49,138.64,8.80,37.10,192.16,0.02,4.85
4.38,-1.20,2.43,11.52,137.44,9.00,37.10,194.16,-0.05,4.56
4.54,-0.78,2.63,11.60,151.61,9.20,37.10,196.86,-0.11,4.72
4.50,-0.93,2.81,11.51,193.35,8.70,37.10,194.50,-0.07,6.23
4.33,-1.27,2.88,11.42,181.49,8.60,37.10,191.61,0.00,6.12
3.97,-1.69,2.78,11.50,155.10,8.70,37.10,192.52,-0.06,5.26
3.78,-1.85,2.49,11.59,181.30,8.80,37.10,194.42,-0.20,6.06
3.97,-1.38,2.32,11.74,136.09,9.40,37.10,196.02,-0.26,4.28
4.20,-0.75,2.43,11.82,137.29,9.50,37.10,197.48,-0.36,3.97
4.27,-0.60,2.70,11.90,211.37,9.30,37.10,198.46,-0.40,5.97
4.29,-0.60,2.71,11.90,216.03,9.30,37.10,199.78,-0.40,6.10
4.29,-0.60,2.74,11.84,212.11,9.10,37.10,198.26,-0.38,6.03
4.28,-0.60,2.72,11.80,216.25,9.00,37.10,197.80,-0.35,6.15
4.29,-0.61,2.78,11.80,215.87,9.10,37.10,195.74,-0.31,6.22
4.27,-0.72,2.79,11.73,218.58,9.00,37.10,197.18,-0.29,6.38
4.23,-0.81,2.72,11.70,214.28,9.00,37.10,196.92,-0.29,6.32
4.21,-0.90,2.74,11.70,205.19,9.00,37.10,196.16,-0.25,6.17
4.18,-0.96,2.75,11.69,208.40,8.90,37.10,195.65,-0.22,6.31
4.14,-1.13,2.76,11.70,205.57,8.80,37.10,195.12,-0.16,6.40
4.09,-1.31,2.70,11.68,206.62,9.00,37.10,194.96,-0.21,6.60
4.09,-1.29,2.53,11.61,181.15,8.90,37.10,195.38,-0.19,5.74
4.09,-1.25,2.68,11.70,160.57,9.20,37.10,195.98,-0.15,5.04
4.02,-1.35,2.66,11.70,191.55,9.10,37.10,196.48,-0.18,6.03
4.07,-1.15,2.55,11.70,158.43,9.20,37.10,196.78,-0.21,4.84
4.06,-1.13,2.72,11.70,189.52,9.00,37.10,195.90,-0.24,5.78
4.00,-1.30,2.70,11.70,210.01,8.90,37.10,196.64,-0.24,6.52
3.90,-1.48,2.64,11.70,205.23,8.90,37.10,197.08,-0.19,6.46
4.00,-1.31,2.49,11.80,157.02,9.10,37.10,197.66,-0.21,4.87
4.14,-0.95,2.49,11.84,160.03,9.40,37.10,198.64,-0.25,4.73
4.18,-0.81,2.72,11.90,205.20,9.10,37.10,198.06,-0.33,5.97
4.23,-0.79,2.63,11.90,206.57,9.20,37.10,199.42,-0.38,5.99
4.26,-0.76,2.71,11.90,207.63,9.30,37.10,200.69,-0.39,5.99
4.29,-0.70,2.67,11.90,206.32,9.20,37.10,200.36,-0.39,5.92
4.31,-0.70,2.70,11.90,205.34,9.10,37.10,200.70,-0.32,5.91
4.33,-0.70,2.71,11.90,210.45,9.20,37.10,199.36,-0.33,6.12
4.35,-0.70,2.70,11.90,205.68,9.20,37.10,199.57,-0.28,6.00
4.37,-0.70,2.70,11.90,208.55,9.20,37.10,198.48,-0.26,6.14
4.40,-0.70,2.69,11.82,206.91,9.30,37.10,198.39,-0.25,6.13
4.39,-0.78,2.80,11.80,205.47,9.00,37.10,200.44,-0.23,6.12
4.30,-1.06,2.77,11.80,206.21,9.00,37.10,198.80,-0.21,6.41
4.21,-1.25,2.65,11.76,208.29,9.10,37.10,197.14,-0.22,6.64
4.28,-0.99,2.49,11.77,159.40,9.30,37.10,195.96,-0.22,4.94
4.35,-0.73,2.68,11.80,171.60,9.20,37.10,197.80,-0.23,5.08
4.34,-0.76,2.78,11.80,193.13,9.10,37.10,197.74,-0.23,5.74
4.27,-0.97,2.78,11.72,218.05,9.00,37.10,197.50,-0.18,6.67
4.22,-1.21,2.74,11.70,211.39,8.90,37.10,195.56,-0.15,6.76
4.13,-1.44,2.67,11.70,215.14,9.00,37.10,195.30,-0.13,7.08
4.12,-1.45,2.54,11.71,168.22,9.20,37.10,197.72,-0.16,5.47
4.23,-1.18,2.48,11.80,160.19,9.20,37.10,197.06,-0.20,5.07
4.42,-0.78,2.50,11.83,163.85,9.20,37.10,198.50,-0.30,4.95
4.54,-0.50,2.65,11.90,189.38,9.40,37.10,199.00,-0.32,5.53
4.58,-0.50,2.77,11.90,217.16,9.20,37.10,198.86,-0.26,6.40
4.64,-0.44,2.72,11.90,214.37,9.10,37.10,198.90,-0.27,6.32
4.72,-0.38,2.72,11.90,217.03,9.10,37.10,198.18,-0.25,6.43
4.80,-0.30,2.76,11.89,217.17,9.10,37.10,201.36,-0.23,6.34
4.81,-0.39,2.92,11.80,212.58,8.90,37.10,198.48,-0.11,6.42
4.63,-0.76,2.93,11.80,208.37,8.90,37.10,198.28,-0.09,6.53
4.46,-1.20,2.82,11.69,215.66,8.80,37.10,197.14,-0.01,7.14
4.28,-1.51,2.65,11.68,190.73,8.80,37.10,195.80,0.02,6.51
4.24,-1.45,2.54,11.65,160.57,9.20,37.10,196.20,0.02,5.37
4.34,-1.26,2.52,11.81,162.56,9.10,37.10,196.34,-0.05,5.35
4.43,-1.10,2.61,11.87,171.15,9.40,37.10,199.62,-0.11,5.47
4.44,-1.17,2.71,11.62,169.75,9.00,37.10,196.24,0.09,5.59
4.44,-1.10,2.57,11.66,169.38,8.90,37.10,195.84,-0.05,5.52
4.52,-0.86,2.53,11.70,165.77,9.30,37.10,196.88,-0.13,5.23
4.56,-0.72,2.69,11.75,174.54,9.10,37.10,197.22,-0.14,5.38
4.53,-0.86,2.78,11.83,214.15,9.00,37.10,198.66,-0.17,6.69
4.45,-1.05,2.79,12.02,209.02,9.20,37.10,201.80,-0.34,6.57
4.47,-1.13,2.69,11.91,188.66,9.40,37.10,200.74,-0.03,6.07
4.51,-1.15,2.67,11.70,188.29,9.00,37.10,196.56,0.03,6.24
4.52,-1.20,2.63,11.70,181.31,9.00,37.10,196.96,-0.07,6.07
4.52,-1.20,2.60,11.60,170.91,9.20,37.10,195.47,0.01,5.77
4.54,-1.19,2.62,11.60,170.16,9.10,37.10,195.56,-0.04,5.75
4.55,-1.15,2.65,11.54,171.73,9.00,37.10,194.12,-0.02,5.81
4.56,-1.11,2.67,11.50,170.70,8.80,37.10,193.70,-0.02,5.76
4.55,-1.17,2.65,11.50,170.17,8.80,37.10,194.53,-0.04,5.77
4.53,-1.20,2.67,11.60,171.64,8.90,37.10,195.20,-0.03,5.81
4.50,-1.20,2.65,11.63,170.84,8.90,37.10,194.20,-0.11,5.78
4.48,-1.21,2.61,11.72,171.00,9.00,37.10,196.70,-0.19,5.71
4.47,-1.25,2.66,11.85,171.48,9.20,37.10,198.80,-0.29,5.69
4.48,-1.30,2.68,11.62,169.44,9.20,37.10,195.59,0.05,5.77
4.48,-1.30,2.66,11.50,171.33,8.90,37.10,193.24,0.05,5.91
4.50,-1.30,2.63,11.50,170.60,8.90,37.10,192.56,-0.02,5.92
4.50,-1.30,2.63,11.50,169.84,8.90,37.10,193.60,-0.05,5.87
4.49,-1.30,2.63,11.50,171.08,8.90,37.10,193.12,-0.06,5.91
4.46,-1.30,2.64,11.50,171.17,8.70,37.10,193.70,-0.08,5.87
4.50,-1.30,2.63,11.58,170.10,8.80,37.10,194.90,-0.14,5.83
4.58,-1.25,2.54,11.60,170.03,9.10,37.10,195.06,-0.16,5.86
4.62,-1.16,2.61,11.60,170.12,9.10,37.10,194.74,-0.20,5.82
4.64,-1.13,2.67,11.60,171.84,8.90,37.10,195.76,-0.22,5.84
4.62,-1.26,2.70,11.66,172.00,8.90,37.10,195.16,-0.20,5.97
4.53,-1.31,2.60,11.70,163.34,9.00,37.10,196.16,-0.25,5.60
4.54,-1.15,2.55,11.70,154.45,9.00,37.10,196.20,-0.28,5.17
4.59,-1.06,2.69,11.70,152.69,9.00,37.10,196.82,-0.24,5.06
4.60,-0.95,2.60,11.64,167.46,9.10,37.10,196.04,-0.19,5.47
4.64,-0.90,2.68,11.60,172.29,8.90,37.10,195.63,-0.17,5.63
4.58,-0.99,2.77,11.54,172.32,8.80,37.10,195.30,-0.08,5.67
4.39,-1.23,2.80,11.50,172.78,8.70,37.10,194.27,-0.03,5.76
4.22,-1.38,2.68,11.55,172.82,8.70,37.10,193.86,-0.07,5.76
4.21,-1.41,2.59,11.53,171.05,8.90,37.10,194.52,-0.03,5.70
4.25,-1.30,2.60,11.50,171.62,8.90,37.10,192.84,0.01,5.70
4.27,-1.28,2.60,11.50,171.79,8.90,37.10,193.10,-0.01,5.69
4.30,-1.20,2.62,11.50,170.41,9.00,37.10,192.06,-0.03,5.63
4.26,-1.27,2.75,11.50,171.73,8.90,37.10,194.90,0.00,5.62
4.16,-1.47,2.77,11.55,171.39,8.70,37.10,194.37,-0.05,5.72
3.92,-1.75,2.70,11.53,171.35,8.80,37.10,193.16,-0.01,5.80
3.80,-1.83,2.54,11.50,166.00,8.90,37.10,193.63,-0.01,5.56
3.82,-1.70,2.54,11.56,158.82,9.00,37.10,193.44,-0.08,5.23
3.84,-1.69,2.53,11.60,170.53,9.20,37.10,195.18,-0.08,5.57
3.86,-1.56,2.51,11.60,169.67,9.10,37.10,196.69,-0.12,5.38
3.89,-1.44,2.57,11.70,169.93,9.10,37.10,195.67,-0.16,5.34
3.92,-1.31,2.60,11.73,172.70,9.00,37.10,196.26,-0.17,5.31
4.01,-1.11,2.50,11.80,170.48,9.10,37.10,198.24,-0.18,5.08
4.12,-0.76,2.55,11.81,171.27,9.30,37.10,199.04,-0.19,4.84
4.13,-0.70,2.74,11.90,217.11,9.10,37.10,197.06,-0.17,6.13
4.12,-0.70,2.76,11.90,218.53,9.20,37.10,199.18,-0.15,6.09
4.08,-0.80,2.74,11.83,217.94,9.20,37.10,198.69,-0.11,6.17
4.03,-0.89,2.73,11.70,216.33,9.00,37.10,195.76,0.00,6.28
3.97,-1.05,2.78,11.68,217.47,8.90,37.10,196.37,-0.04,6.40
3.90,-1.20,2.73,11.60,216.90,8.90,37.10,194.76,-0.02,6.54
3.86,-1.38,2.68,11.60,218.27,8.90,37.10,194.96,-0.02,6.75
3.80,-1.50,2.59,11.61,201.58,9.00,37.10,195.16,-0.03,6.31
3.86,-1.31,2.47,11.70,171.91,9.20,37.10,195.24,-0.09,5.25
3.98,-0.96,2.51,11.73,172.83,9.20,37.10,196.06,-0.17,5.02
4.05,-0.80,2.67,11.80,196.35,9.10,37.10,199.48,-0.24,5.50
4.08,-0.80,2.70,11.80,217.12,9.20,37.10,197.41,-0.23,6.19
4.09,-0.78,2.71,11.80,218.07,9.20,37.10,197.72,-0.24,6.19
4.09,-0.78,2.70,11.80,216.73,9.10,37.10,195.84,-0.26,6.22
4.10,-0.77,2.70,11.79,217.79,9.10,37.10,197.31,-0.28,6.20
4.11,-0.71,2.67,11.73,218.32,9.10,37.10,196.40,-0.28,6.18
4.13,-0.70,2.73,11.71,216.16,9.00,37.10,198.40,-0.27,6.07
4.12,-0.70,2.71,11.70,217.90,8.90,37.10,197.41,-0.24,6.13
4.11,-0.70,2.73,11.70,216.54,9.10,37.10,197.00,-0.19,6.10
4.08,-0.78,2.77,11.70,217.67,9.00,37.10,195.92,-0.14,6.22
4.02,-0.91,2.75,11.62,218.16,8.80,37.10,195.08,-0.12,6.35
3.94,-1.04,2.69,11.60,217.37,8.80,37.10,194.12,-0.11,6.43
3.86,-1.17,2.71,11.60,216.88,9.00,37.10,194.54,-0.08,6.46
3.81,-1.30,2.72,11.59,218.77,8.90,37.10,194.41,-0.07,6.64
3.78,-1.50,2.65,11.60,216.73,9.00,37.10,194.00,-0.03,6.80
3.81,-1.42,2.48,11.60,183.86,9.10,37.10,193.88,-0.08,5.71
3.92,-1.09,2.54,11.69,172.38,9.20,37.10,197.22,-0.17,5.05
4.04,-0.82,2.61,11.71,192.78,9.20,37.10,196.45,-0.22,5.51
4.06,-0.80,2.68,11.80,217.40,9.10,37.10,197.66,-0.26,6.17
4.07,-0.80,2.70,11.80,218.29,9.20,37.10,196.39,-0.26,6.24
4.08,-0.79,2.71,11.80,217.49,9.20,37.10,198.10,-0.27,6.16
4.09,-0.76,2.70,11.79,217.26,9.10,37.10,198.00,-0.26,6.13
4.11,-0.70,2.70,11.72,216.80,9.00,37.10,197.24,-0.18,6.09
4.11,-0.70,2.72,11.71,217.14,9.10,37.10,197.92,-0.18,6.09
4.12,-0.71,2.75,11.70,218.53,8.90,37.10,195.20,-0.18,6.23
4.11,-0.79,2.71,11.70,217.38,8.90,37.10,197.67,-0.18,6.21
4.09,-0.80,2.74,11.70,216.72,9.00,37.10,197.76,-0.18,6.18
4.06,-0.86,2.73,11.70,217.06,9.10,37.10,196.34,-0.14,6.28
4.01,-0.99,2.75,11.69,217.89,9.00,37.10,195.80,-0.14,6.41
3.94,-1.12,2.71,11.62,216.48,8.90,37.10,195.52,-0.17,6.45
3.92,-1.24,2.67,11.60,217.69,8.90,37.10,195.02,-0.17,6.65
3.87,-1.35,2.63,11.69,216.77,9.00,37.10,195.86,-0.12,6.66
3.90,-1.25,2.51,11.70,174.05,9.20,37.10,196.35,-0.17,5.26
4.02,-0.92,2.55,11.70,173.02,9.30,37.10,196.20,-0.23,5.02
4.11,-0.74,2.65,11.72,204.06,9.00,37.10,197.42,-0.26,5.78
4.16,-0.70,2.68,11.72,216.23,9.00,37.10,196.98,-0.23,6.15
4.18,-0.69,2.76,11.70,217.66,9.00,37.10,197.32,-0.25,6.19
4.16,-0.71,2.73,11.70,216.32,9.00,37.10,195.50,-0.23,6.22
4.13,-0.80,2.76,11.68,217.56,9.00,37.10,195.50,-0.23,6.33
4.08,-0.92,2.74,11.60,217.84,8.90,37.10,195.37,-0.22,6.42
3.98,-1.09,2.75,11.56,215.68,8.90,37.10,193.68,-0.15,6.51
3.91,-1.28,2.70,11.50,217.99,8.70,37.10,193.60,-0.06,6.74
3.87,-1.47,2.73,11.50,217.80,8.80,37.10,192.72,-0.05,6.95
3.85,-1.58,2.59,11.50,187.54,8.90,37.10,192.88,-0.05,6.09
3.87,-1.46,2.52,11.50,171.80,9.10,37.10,193.02,-0.03,5.47
3.90,-1.34,2.55,11.57,171.26,9.00,37.10,193.88,-0.04,5.33
3.98,-1.08,2.49,11.60,170.27,9.10,37.10,195.86,-0.04,5.07
4.08,-0.82,2.58,11.61,176.12,9.10,37.10,195.50,-0.09,5.09
4.08,-0.80,2.72,11.61,215.68,8.90,37.10,195.69,-0.11,6.21
4.07,-0.81,2.75,11.67,218.32,8.90,37.10,195.64,-0.13,6.28
4.00,-0.96,2.76,11.68,218.65,9.00,37.10,195.68,-0.16,6.40
3.92,-1.11,2.70,11.68,217.79,9.00,37.10,195.96,-0.14,6.44
3.91,-1.22,2.67,11.60,216.69,8.90,37.10,194.56,0.01,6.58
3.88,-1.30,2.64,11.60,209.80,9.00,37.10,195.08,0.00,6.42
3.90,-1.13,2.54,11.60,171.46,9.00,37.10,194.42,0.00,5.12
3.94,-0.91,2.65,11.60,171.67,9.10,37.10,196.47,-0.03,4.88
3.89,-1.02,2.75,11.66,214.78,8.80,37.10,194.58,-0.09,6.25
3.84,-1.12,2.71,11.57,218.39,8.90,37.10,194.70,-0.02,6.42
3.80,-1.20,2.67,11.50,218.32,8.80,37.10,192.62,0.01,6.53
3.78,-1.27,2.69,11.51,217.19,9.00,37.10,192.84,-0.02,6.57
3.72,-1.51,2.70,11.60,217.03,8.90,37.10,194.45,-0.10,6.74
